impl,config,mesh_file,num_triangles,grid_res,elapsed_ms
cuda,cuda_64tpb,data/airplane_0001.off,104773,32,41.677151
cuda,cuda_128tpb,data/airplane_0001.off,104773,32,35.791073
cuda,cuda_256tpb,data/airplane_0001.off,104773,32,35.516354
cuda,cuda_64tpb,data/airplane_0001.off,104773,32,35.888321
cuda,cuda_128tpb,data/airplane_0001.off,104773,32,37.491520
cuda,cuda_256tpb,data/airplane_0001.off,104773,32,31.497185
cuda,cuda_64tpb,data/airplane_0001.off,104773,32,30.702593
cuda,cuda_128tpb,data/airplane_0001.off,104773,32,30.742529
cuda,cuda_256tpb,data/airplane_0001.off,104773,32,30.657663
cuda,cuda_64tpb,data/chair_0001.off,2234,32,1.118208
cuda,cuda_128tpb,data/chair_0001.off,2234,32,0.911040
cuda,cuda_256tpb,data/chair_0001.off,2234,32,0.902624
cuda,cuda_64tpb,data/chair_0001.off,2234,32,0.907296
cuda,cuda_128tpb,data/chair_0001.off,2234,32,0.898400
cuda,cuda_256tpb,data/chair_0001.off,2234,32,0.903168
cuda,cuda_64tpb,data/chair_0001.off,2234,32,0.914144
cuda,cuda_128tpb,data/chair_0001.off,2234,32,0.901408
cuda,cuda_256tpb,data/chair_0001.off,2234,32,0.891200
cuda,cuda_64tpb,data/table_0001.off,8652,32,1.458176
cuda,cuda_128tpb,data/table_0001.off,8652,32,1.423872
cuda,cuda_256tpb,data/table_0001.off,8652,32,1.430528
cuda,cuda_64tpb,data/table_0001.off,8652,32,1.423392
cuda,cuda_128tpb,data/table_0001.off,8652,32,1.446720
cuda,cuda_256tpb,data/table_0001.off,8652,32,1.426688
cuda,cuda_64tpb,data/table_0001.off,8652,32,1.467968
cuda,cuda_128tpb,data/table_0001.off,8652,32,1.495296
cuda,cuda_256tpb,data/table_0001.off,8652,32,1.444864
cuda,cuda_64tpb,data/guitar_0001.off,11325,32,3.604896
cuda,cuda_128tpb,data/guitar_0001.off,11325,32,3.607712
