impl,config,mesh_file,num_triangles,grid_res,elapsed_ms
mpi,mpi_1p,data/airplane_0001.off,104773,32,5.589000
mpi,mpi_4p,data/airplane_0001.off,104773,32,4.517000
mpi,mpi_8p,data/airplane_0001.off,104773,32,4.738000
mpi,mpi_1p,data/airplane_0001.off,104773,32,5.633000
mpi,mpi_4p,data/airplane_0001.off,104773,32,4.489000
mpi,mpi_8p,data/airplane_0001.off,104773,32,6.554000
mpi,mpi_1p,data/airplane_0001.off,104773,32,5.668000
mpi,mpi_4p,data/airplane_0001.off,104773,32,4.815000
mpi,mpi_8p,data/airplane_0001.off,104773,32,5.390000
mpi,mpi_1p,data/chair_0001.off,2234,32,0.419000
mpi,mpi_4p,data/chair_0001.off,2234,32,0.155000
mpi,mpi_8p,data/chair_0001.off,2234,32,0.393000
mpi,mpi_1p,data/chair_0001.off,2234,32,0.390000
mpi,mpi_4p,data/chair_0001.off,2234,32,0.188000
mpi,mpi_8p,data/chair_0001.off,2234,32,0.201000
mpi,mpi_1p,data/chair_0001.off,2234,32,0.379000
mpi,mpi_4p,data/chair_0001.off,2234,32,0.154000
mpi,mpi_8p,data/chair_0001.off,2234,32,0.200000
mpi,mpi_1p,data/table_0001.off,8652,32,0.932000
mpi,mpi_4p,data/table_0001.off,8652,32,0.975000
mpi,mpi_8p,data/table_0001.off,8652,32,2.274000
mpi,mpi_1p,data/table_0001.off,8652,32,0.944000
mpi,mpi_4p,data/table_0001.off,8652,32,0.952000
mpi,mpi_8p,data/table_0001.off,8652,32,2.281000
mpi,mpi_1p,data/table_0001.off,8652,32,0.946000
mpi,mpi_4p,data/table_0001.off,8652,32,1.216000
mpi,mpi_8p,data/table_0001.off,8652,32,1.642000
mpi,mpi_1p,data/guitar_0001.off,11325,32,0.803000
mpi,mpi_4p,data/guitar_0001.off,11325,32,0.847000
mpi,mpi_8p,data/guitar_0001.off,11325,32,0.955000
mpi,mpi_1p,data/guitar_0001.off,11325,32,0.778000
mpi,mpi_4p,data/guitar_0001.off,11325,32,0.816000
mpi,mpi_8p,data/guitar_0001.off,11325,32,0.828000
mpi,mpi_1p,data/guitar_0001.off,11325,32,0.838000
mpi,mpi_4p,data/guitar_0001.off,11325,32,0.855000
mpi,mpi_8p,data/guitar_0001.off,11325,32,0.836000
mpi,mpi_1p,data/lamp_0001.off,15328,32,1.246000
mpi,mpi_4p,data/lamp_0001.off,15328,32,0.667000
mpi,mpi_8p,data/lamp_0001.off,15328,32,0.684000
mpi,mpi_1p,data/lamp_0001.off,15328,32,1.286000
mpi,mpi_4p,data/lamp_0001.off,15328,32,0.667000
mpi,mpi_8p,data/lamp_0001.off,15328,32,0.784000
mpi,mpi_1p,data/lamp_0001.off,15328,32,1.221000
mpi,mpi_4p,data/lamp_0001.off,15328,32,0.650000
mpi,mpi_8p,data/lamp_0001.off,15328,32,0.559000
