impl,grid_res,config,meshes,avg_mean_ms,avg_speedup_vs_seq
openmp,32,omp_4t,9,2.341612,1.672417
pthreads,32,pth_4t,9,2.243362,1.583675
mpi,32,mpi_4p,9,3.452119,1.529734
cuda,32,cuda_128tpb,9,0.662688,7.659043
openmp,64,omp_4t,9,3.899808,1.809353
pthreads,64,pth_4t,9,4.303339,1.825003
mpi,64,mpi_8p,9,5.592587,1.724497
cuda,64,cuda_256tpb,9,1.108945,9.444759
openmp,128,omp_4t,9,8.969656,2.136212
pthreads,128,pth_8t,9,12.515953,1.999084
mpi,128,mpi_8p,9,11.796051,1.821675
cuda,128,cuda_256tpb,9,3.835799,8.054293
