impl,config,mesh_file,mesh_display,grid_res,num_triangles,runs,mean_ms,stdev_ms,min_ms,max_ms,speedup_vs_seq
sequential,seq_1t,data/airplane_0001.off,airplane_0001.off,32,104773,3,18.184624,0.380110,17.795341,18.554844,1.000000
openmp,omp_1t,data/airplane_0001.off,airplane_0001.off,32,104773,3,18.220034,0.216272,18.073307,18.468404,0.998057
openmp,omp_4t,data/airplane_0001.off,airplane_0001.off,32,104773,3,8.526855,5.303711,5.383349,14.650325,2.132630
openmp,omp_8t,data/airplane_0001.off,airplane_0001.off,32,104773,3,21.150842,2.032147,19.209658,23.263133,0.859759
pthreads,pth_1t,data/airplane_0001.off,airplane_0001.off,32,104773,3,19.157521,0.129012,19.008937,19.241094,0.949216
pthreads,pth_4t,data/airplane_0001.off,airplane_0001.off,32,104773,3,5.775300,0.304371,5.532271,6.116688,3.148689
pthreads,pth_8t,data/airplane_0001.off,airplane_0001.off,32,104773,3,7.364855,2.014657,5.403774,9.429123,2.469108
mpi,mpi_1p,data/airplane_0001.off,airplane_0001.off,32,104773,3,18.234886,0.295299,17.960867,18.547642,0.997244
mpi,mpi_4p,data/airplane_0001.off,airplane_0001.off,32,104773,3,13.505319,0.248192,13.218797,13.653908,1.346479
mpi,mpi_8p,data/airplane_0001.off,airplane_0001.off,32,104773,3,14.934623,2.540919,12.739543,17.718131,1.217615
cuda,cuda_64tpb,data/airplane_0001.off,airplane_0001.off,32,104773,3,0.507904,0.072812,0.425984,0.565248,35.803271
cuda,cuda_128tpb,data/airplane_0001.off,airplane_0001.off,32,104773,3,0.483595,0.034828,0.443392,0.504608,37.603029
cuda,cuda_256tpb,data/airplane_0001.off,airplane_0001.off,32,104773,3,0.552555,0.065573,0.496448,0.624640,32.910091
sequential,seq_1t,data/bookshelf_0001.off,bookshelf_0001.off,32,96,3,0.332575,0.017429,0.312721,0.345353,1.000000
openmp,omp_1t,data/bookshelf_0001.off,bookshelf_0001.off,32,96,3,0.301168,0.011307,0.293893,0.314195,1.104284
openmp,omp_4t,data/bookshelf_0001.off,bookshelf_0001.off,32,96,3,0.594179,0.121763,0.503683,0.732616,0.559722
openmp,omp_8t,data/bookshelf_0001.off,bookshelf_0001.off,32,96,3,4.639187,3.758043,0.733419,8.229637,0.071688
pthreads,pth_1t,data/bookshelf_0001.off,bookshelf_0001.off,32,96,3,0.446895,0.029376,0.425009,0.480282,0.744191
pthreads,pth_4t,data/bookshelf_0001.off,bookshelf_0001.off,32,96,3,0.584017,0.345624,0.353378,0.981401,0.569462
pthreads,pth_8t,data/bookshelf_0001.off,bookshelf_0001.off,32,96,3,2.270732,2.774243,0.489998,5.467214,0.146462
mpi,mpi_1p,data/bookshelf_0001.off,bookshelf_0001.off,32,96,3,0.476192,0.079357,0.385092,0.530291,0.698405
mpi,mpi_4p,data/bookshelf_0001.off,bookshelf_0001.off,32,96,3,0.136228,0.022771,0.120402,0.162325,2.441320
mpi,mpi_8p,data/bookshelf_0001.off,bookshelf_0001.off,32,96,3,0.671733,0.538754,0.284738,1.287051,0.495100
cuda,cuda_64tpb,data/bookshelf_0001.off,bookshelf_0001.off,32,96,3,0.575147,0.047573,0.522240,0.614400,0.578244
cuda,cuda_128tpb,data/bookshelf_0001.off,bookshelf_0001.off,32,96,3,0.448171,0.015541,0.434176,0.464896,0.742073
cuda,cuda_256tpb,data/bookshelf_0001.off,bookshelf_0001.off,32,96,3,0.476768,0.043272,0.439296,0.524128,0.697562
