mesh_file,mesh,grid_res,seq,best_omp,best_pth,best_mpi,best_cuda
data/airplane_0001.off,airplane_0001.off,32,6.562000,1.165667,3.733000,4.607000,32.557067
data/bookshelf_0001.off,bookshelf_0001.off,32,0.130333,0.152000,0.117000,0.052333,0.141600
data/bottle_0001.off,bottle_0001.off,32,0.362667,0.193667,0.301333,0.159333,0.727680
data/chair_0001.off,chair_0001.off,32,0.402667,0.199667,0.281000,0.165667,0.898997
data/guitar_0001.off,guitar_0001.off,32,1.216000,0.230667,0.946667,0.839333,3.606731
data/lamp_0001.off,lamp_0001.off,32,1.364000,0.465000,0.834000,0.661333,9.342773
data/person_0001.off,person_0001.off,32,1.689000,0.410667,0.791333,1.028667,6.545504
data/piano_0001.off,piano_0001.off,32,1.674667,0.407333,1.838667,1.051667,3.875691
data/table_0001.off,table_0001.off,32,1.054333,0.333000,1.930000,1.047667,1.434027
data/airplane_0001.off,airplane_0001.off,64,8.881000,1.687000,3.589667,7.991667,91.328021
data/bookshelf_0001.off,bookshelf_0001.off,64,0.414000,0.350667,0.206667,0.402333,0.207456
data/bottle_0001.off,bottle_0001.off,64,1.156667,0.463333,0.929667,1.131000,1.180501
data/chair_0001.off,chair_0001.off,64,1.137667,0.451333,0.812000,1.125667,1.996683
data/guitar_0001.off,guitar_0001.off,64,1.409333,0.364333,0.850667,1.316333,9.675360
data/lamp_0001.off,lamp_0001.off,64,3.384000,1.350000,2.686000,3.119667,13.889525
data/person_0001.off,person_0001.off,64,4.605667,0.614000,1.198333,2.743000,19.025589
data/piano_0001.off,piano_0001.off,64,2.916333,0.737000,2.302667,2.800000,14.221397
data/table_0001.off,table_0001.off,64,2.239667,0.610000,3.349333,2.202000,7.438688
data/airplane_0001.off,airplane_0001.off,128,15.534667,2.966333,5.649333,13.558667,738.527669
data/bookshelf_0001.off,bookshelf_0001.off,128,1.536333,1.102333,0.500667,3.048333,0.754805
data/bottle_0001.off,bottle_0001.off,128,4.747667,2.905000,4.009333,3.431333,7.161984
data/chair_0001.off,chair_0001.off,128,4.168667,1.348333,2.867333,5.055000,15.766997
data/guitar_0001.off,guitar_0001.off,128,2.815667,0.618667,1.349000,4.808000,78.486626
data/lamp_0001.off,lamp_0001.off,128,13.162333,6.146000,13.530333,8.964333,105.029322
data/person_0001.off,person_0001.off,128,6.792000,1.360667,2.953667,5.717667,155.848180
data/piano_0001.off,piano_0001.off,128,6.402333,1.719667,3.937333,5.782667,115.354805
data/table_0001.off,table_0001.off,128,6.105667,1.418667,6.577667,7.154667,66.933355
