mesh_file,mesh,grid_res,sequential:seq_1t,openmp:omp_1t,openmp:omp_4t,openmp:omp_8t,pthreads:pth_1t,pthreads:pth_4t,pthreads:pth_8t,mpi:mpi_1p,mpi:mpi_4p,mpi:mpi_8p,cuda:cuda_64tpb,cuda:cuda_128tpb,cuda:cuda_256tpb
data/airplane_0001.off,airplane_0001.off,32,6.562000,6.603333,1.541667,1.165667,6.571000,3.733000,4.680667,5.630000,4.607000,5.560667,36.089355,34.675041,32.557067
data/bookshelf_0001.off,bookshelf_0001.off,32,0.130333,0.137667,0.125333,0.152000,0.227000,0.117000,0.118000,0.127333,0.052333,0.098333,0.142827,0.163403,0.141600
data/bottle_0001.off,bottle_0001.off,32,0.362667,0.394000,0.198000,0.193667,0.411333,0.301333,0.282667,0.351667,0.159333,0.183333,0.722944,0.733440,0.727680
data/chair_0001.off,chair_0001.off,32,0.402667,0.432000,0.171667,0.199667,0.436667,0.281000,0.345000,0.396000,0.165667,0.264667,0.979883,0.903616,0.898997
data/guitar_0001.off,guitar_0001.off,32,1.216000,1.212667,0.243333,0.230667,0.905667,0.946667,1.776333,0.806333,0.839333,0.873000,3.624053,3.619893,3.606731
data/lamp_0001.off,lamp_0001.off,32,1.364000,1.346333,0.544333,0.465000,1.394000,0.834000,0.886333,1.251000,0.661333,0.675667,8.885749,9.223733,9.342773
data/person_0001.off,person_0001.off,32,1.689000,1.657667,0.573333,0.410667,1.713667,0.791333,0.895333,1.569333,1.028667,1.111667,6.871723,6.798336,6.545504
data/piano_0001.off,piano_0001.off,32,1.674667,1.652000,0.565000,0.407333,1.723667,1.838667,2.967000,1.590667,1.051667,1.270000,3.864107,3.841109,3.875691
data/table_0001.off,table_0001.off,32,1.054333,1.010333,0.323000,0.333000,1.090667,1.930000,2.849667,0.940667,1.047667,2.065667,1.449845,1.455296,1.434027
data/airplane_0001.off,airplane_0001.off,64,8.881000,8.660333,2.167667,1.687000,8.733667,3.589667,5.962333,7.991667,7.280000,10.779667,95.048574,93.978859,91.328021
data/bookshelf_0001.off,bookshelf_0001.off,64,0.414000,0.430667,0.322667,0.350667,0.469333,0.206667,0.215667,0.402333,1.657333,0.815667,0.217195,0.206037,0.207456
data/bottle_0001.off,bottle_0001.off,64,1.156667,1.247667,0.512667,0.463333,1.218667,0.929667,0.714333,1.131000,1.245000,1.590000,1.145355,1.144960,1.180501
data/chair_0001.off,chair_0001.off,64,1.137667,1.175667,0.442667,0.451333,1.636000,0.812000,0.809667,1.125667,1.831667,0.711000,2.003083,1.998197,1.996683
data/guitar_0001.off,guitar_0001.off,64,1.409333,1.406667,0.379333,0.364333,1.434667,0.850667,1.338000,1.316333,3.096000,3.977333,9.629312,9.679669,9.675360
data/lamp_0001.off,lamp_0001.off,64,3.384000,3.525000,1.433667,1.350000,3.613000,2.686000,2.774333,3.119667,2.217667,1.929333,13.798560,13.683957,13.889525
data/person_0001.off,person_0001.off,64,4.605667,2.909333,0.893000,0.614000,3.040000,1.198333,1.132000,2.743000,3.397000,2.822333,19.570656,18.985398,19.025589
data/piano_0001.off,piano_0001.off,64,2.916333,2.848000,0.885667,0.737000,2.989333,2.302667,3.814667,2.800000,2.698667,2.709333,14.180181,14.206848,14.221397
data/table_0001.off,table_0001.off,64,2.239667,2.254667,0.722333,0.610000,2.351333,3.349333,5.966000,2.202000,4.161000,4.144333,7.438027,7.410933,7.438688
data/airplane_0001.off,airplane_0001.off,128,15.534667,15.076000,4.114667,2.966333,15.341333,5.649333,7.053000,14.907333,13.558667,15.235667,736.621317,737.496867,738.527669
data/bookshelf_0001.off,bookshelf_0001.off,128,1.536333,1.560667,1.083667,1.102333,1.576667,0.500667,0.526333,1.595667,3.048333,4.491000,0.758869,0.766315,0.754805
data/bottle_0001.off,bottle_0001.off,128,4.747667,4.932667,2.076333,2.905000,5.045667,4.009333,3.124333,4.903333,3.431333,6.149000,7.212245,7.168160,7.161984
data/chair_0001.off,chair_0001.off,128,4.168667,4.269000,1.324667,1.348333,4.334667,2.867333,2.782333,4.039000,5.055000,4.803667,14.745152,15.735520,15.766997
data/guitar_0001.off,guitar_0001.off,128,2.815667,2.732000,0.732667,0.618667,2.798667,1.349000,1.996333,2.747667,4.808000,10.234333,84.980296,83.750880,78.486626
data/lamp_0001.off,lamp_0001.off,128,13.162333,13.792667,6.332667,6.146000,14.146000,13.530333,13.186667,13.384000,8.964333,8.586000,104.939359,104.892863,105.029322
data/person_0001.off,person_0001.off,128,6.792000,6.815000,1.841667,1.360667,6.755667,2.953667,2.454667,6.652000,5.717667,9.293333,156.024968,155.792247,155.848180
data/piano_0001.off,piano_0001.off,128,6.402333,6.495667,1.866667,1.719667,6.676333,3.937333,6.342000,6.517333,5.782667,8.751000,115.270315,115.383850,115.354805
data/table_0001.off,table_0001.off,128,6.105667,6.018333,1.963333,1.418667,6.193333,6.577667,11.977333,5.948667,7.154667,11.245333,69.091797,67.098254,66.933355
