impl,grid_res,config,workers,meshes,avg_mean_ms,avg_speedup_vs_1,avg_efficiency
openmp,32,omp_1t,1,9,1.605111,1.000000,1.000000
openmp,32,omp_4t,4,9,0.476185,2.920902,0.730225
openmp,32,omp_8t,8,9,0.395296,3.338595,0.417324
openmp,64,omp_1t,1,9,2.717556,1.000000,1.000000
openmp,64,omp_4t,4,9,0.862185,2.909049,0.727262
openmp,64,omp_8t,8,9,0.736407,3.381139,0.422642
openmp,128,omp_1t,1,9,6.854667,1.000000,1.000000
openmp,128,omp_4t,4,9,2.370704,2.983889,0.745972
openmp,128,omp_8t,8,9,2.176185,3.450055,0.431257
pthreads,32,pth_1t,1,9,1.608185,1.000000,1.000000
pthreads,32,pth_4t,4,9,1.197000,1.435078,0.358769
pthreads,32,pth_8t,8,9,1.644556,1.223198,0.152900
pthreads,64,pth_1t,1,9,2.831778,1.000000,1.000000
pthreads,64,pth_4t,4,9,1.769444,1.733150,0.433287
pthreads,64,pth_8t,8,9,2.525222,1.511714,0.188964
pthreads,128,pth_1t,1,9,6.985370,1.000000,1.000000
pthreads,128,pth_4t,4,9,4.597185,1.853279,0.463320
pthreads,128,pth_8t,8,9,5.493667,1.682248,0.210281
mpi,32,mpi_1p,1,9,1.407000,1.000000,1.000000
mpi,32,mpi_4p,4,9,1.068111,1.671215,0.417804
mpi,32,mpi_8p,8,9,1.344778,1.290722,0.161340
mpi,64,mpi_1p,1,9,2.536852,1.000000,1.000000
mpi,64,mpi_4p,4,9,3.064926,0.785516,0.196379
mpi,64,mpi_8p,8,9,3.275444,0.890419,0.111302
mpi,128,mpi_1p,1,9,6.743889,1.000000,1.000000
mpi,128,mpi_4p,4,9,6.391185,1.004147,0.251037
mpi,128,mpi_8p,8,9,8.754370,0.754312,0.094289
