mesh_file,mesh,grid_res,seq,best_omp,best_pth,best_mpi,best_cuda
data/airplane_0001.off,airplane_0001.off,32,1.000000,5.629397,1.757836,1.424354,0.201554
data/bookshelf_0001.off,bookshelf_0001.off,32,1.000000,0.857456,1.113960,2.490446,0.920433
data/bottle_0001.off,bottle_0001.off,32,1.000000,1.872633,1.203540,2.276151,0.498388
data/chair_0001.off,chair_0001.off,32,1.000000,2.016694,1.432977,2.430584,0.447906
data/guitar_0001.off,guitar_0001.off,32,1.000000,5.271676,1.284507,1.448769,0.337147
data/lamp_0001.off,lamp_0001.off,32,1.000000,2.933333,1.635492,2.062500,0.145995
data/person_0001.off,person_0001.off,32,1.000000,4.112825,2.134372,1.641931,0.258040
data/piano_0001.off,piano_0001.off,32,1.000000,4.111293,0.910805,1.592393,0.432095
data/table_0001.off,table_0001.off,32,1.000000,3.166166,0.546287,1.006363,0.735226
data/airplane_0001.off,airplane_0001.off,64,1.000000,5.264375,2.474046,1.111283,0.097243
data/bookshelf_0001.off,bookshelf_0001.off,64,1.000000,1.180608,2.003226,1.028998,1.995604
data/bottle_0001.off,bottle_0001.off,64,1.000000,2.496403,1.244174,1.022694,0.979810
data/chair_0001.off,chair_0001.off,64,1.000000,2.520679,1.401067,1.010660,0.569778
data/guitar_0001.off,guitar_0001.off,64,1.000000,3.868253,1.656740,1.070651,0.145662
data/lamp_0001.off,lamp_0001.off,64,1.000000,2.506667,1.259866,1.084731,0.243637
data/person_0001.off,person_0001.off,64,1.000000,7.501086,3.843394,1.679062,0.242077
data/piano_0001.off,piano_0001.off,64,1.000000,3.957033,1.266503,1.041548,0.205067
data/table_0001.off,table_0001.off,64,1.000000,3.671585,0.668690,1.017106,0.301084
data/airplane_0001.off,airplane_0001.off,128,1.000000,5.236993,2.749823,1.145737,0.021035
data/bookshelf_0001.off,bookshelf_0001.off,128,1.000000,1.393710,3.068575,0.503991,2.035403
data/bottle_0001.off,bottle_0001.off,128,1.000000,1.634309,1.184154,1.383622,0.662898
data/chair_0001.off,chair_0001.off,128,1.000000,3.091718,1.453848,0.824662,0.264392
data/guitar_0001.off,guitar_0001.off,128,1.000000,4.551185,2.087225,0.585621,0.035874
data/lamp_0001.off,lamp_0001.off,128,1.000000,2.141610,0.972802,1.468300,0.125321
data/person_0001.off,person_0001.off,128,1.000000,4.991671,2.299515,1.187897,0.043581
data/piano_0001.off,piano_0001.off,128,1.000000,3.723008,1.626058,1.107159,0.055501
data/table_0001.off,table_0001.off,128,1.000000,4.303806,0.928242,0.853382,0.091220
