mesh_file,mesh,grid_res,sequential:seq_1t,openmp:omp_1t,openmp:omp_4t,openmp:omp_8t,pthreads:pth_1t,pthreads:pth_4t,pthreads:pth_8t,mpi:mpi_1p,mpi:mpi_4p,mpi:mpi_8p,cuda:cuda_64tpb,cuda:cuda_128tpb,cuda:cuda_256tpb
data/airplane_0001.off,airplane_0001.off,32,1.000000,0.993741,4.256432,5.629397,0.998630,1.757836,1.401937,1.165542,1.424354,1.180074,0.181826,0.189243,0.201554
data/bookshelf_0001.off,bookshelf_0001.off,32,1.000000,0.946731,1.039894,0.857456,0.574156,1.113960,1.104520,1.023560,2.490446,1.325424,0.912528,0.797621,0.920433
data/bottle_0001.off,bottle_0001.off,32,1.000000,0.920474,1.831650,1.872633,0.881686,1.203540,1.283019,1.031280,2.276151,1.978182,0.501653,0.494474,0.498388
data/chair_0001.off,chair_0001.off,32,1.000000,0.932099,2.345631,2.016694,0.922137,1.432977,1.167150,1.016835,2.430584,1.521411,0.410934,0.445617,0.447906
data/guitar_0001.off,guitar_0001.off,32,1.000000,1.002749,4.997260,5.271676,1.342657,1.284507,0.684556,1.508061,1.448769,1.392898,0.335536,0.335922,0.337147
data/lamp_0001.off,lamp_0001.off,32,1.000000,1.013122,2.505818,2.933333,0.978479,1.635492,1.538924,1.090328,2.062500,2.018747,0.153504,0.147879,0.145995
data/person_0001.off,person_0001.off,32,1.000000,1.018902,2.945930,4.112825,0.985606,2.134372,1.886448,1.076253,1.641931,1.519340,0.245790,0.248443,0.258040
data/piano_0001.off,piano_0001.off,32,1.000000,1.013721,2.964012,4.111293,0.971572,0.910805,0.564431,1.052808,1.592393,1.318635,0.433390,0.435985,0.432095
data/table_0001.off,table_0001.off,32,1.000000,1.043550,3.264190,3.166166,0.966687,0.546287,0.369985,1.120836,1.006363,0.510408,0.727204,0.724480,0.735226
data/airplane_0001.off,airplane_0001.off,64,1.000000,1.025480,4.097032,5.264375,1.016870,2.474046,1.489518,1.111283,1.219918,0.823866,0.093436,0.094500,0.097243
data/bookshelf_0001.off,bookshelf_0001.off,64,1.000000,0.961300,1.283058,1.180608,0.882102,2.003226,1.919629,1.028998,0.249799,0.507560,1.906124,2.009345,1.995604
data/bottle_0001.off,bottle_0001.off,64,1.000000,0.927064,2.256177,2.496403,0.949125,1.244174,1.619225,1.022694,0.929050,0.727463,1.009876,1.010225,0.979810
data/chair_0001.off,chair_0001.off,64,1.000000,0.967678,2.570030,2.520679,0.695395,1.401067,1.405105,1.010660,0.621110,1.600094,0.567958,0.569347,0.569778
data/guitar_0001.off,guitar_0001.off,64,1.000000,1.001896,3.715290,3.868253,0.982342,1.656740,1.053313,1.070651,0.455211,0.354341,0.146359,0.145597,0.145662
data/lamp_0001.off,lamp_0001.off,64,1.000000,0.960000,2.360381,2.506667,0.936618,1.259866,1.219752,1.084731,1.525928,1.753974,0.245243,0.247297,0.243637
data/person_0001.off,person_0001.off,64,1.000000,1.583066,5.157521,7.501086,1.515022,3.843394,4.068610,1.679062,1.355804,1.631865,0.235335,0.242590,0.242077
data/piano_0001.off,piano_0001.off,64,1.000000,1.023993,3.292811,3.957033,0.975580,1.266503,0.764505,1.041548,1.080657,1.076403,0.205663,0.205277,0.205067
data/table_0001.off,table_0001.off,64,1.000000,0.993347,3.100600,3.671585,0.952509,0.668690,0.375405,1.017106,0.538252,0.540417,0.301110,0.302211,0.301084
data/airplane_0001.off,airplane_0001.off,128,1.000000,1.030424,3.775437,5.236993,1.012602,2.749823,2.202562,1.042082,1.145737,1.019625,0.021089,0.021064,0.021035
data/bookshelf_0001.off,bookshelf_0001.off,128,1.000000,0.984408,1.417718,1.393710,0.974419,3.068575,2.918936,0.962816,0.503991,0.342092,2.024503,2.004834,2.035403
data/bottle_0001.off,bottle_0001.off,128,1.000000,0.962495,2.286563,1.634309,0.940939,1.184154,1.519578,0.968253,1.383622,0.772104,0.658279,0.662327,0.662898
data/chair_0001.off,chair_0001.off,128,1.000000,0.976497,3.146955,3.091718,0.961704,1.453848,1.498263,1.032104,0.824662,0.867809,0.282714,0.264921,0.264392
data/guitar_0001.off,guitar_0001.off,128,1.000000,1.030625,3.843039,4.551185,1.006074,2.087225,1.410419,1.024748,0.585621,0.275120,0.033133,0.033620,0.035874
data/lamp_0001.off,lamp_0001.off,128,1.000000,0.954299,2.078482,2.141610,0.930463,0.972802,0.998155,0.983438,1.468300,1.532999,0.125428,0.125484,0.125321
data/person_0001.off,person_0001.off,128,1.000000,0.996625,3.687964,4.991671,1.005378,2.299515,2.766974,1.021046,1.187897,0.730846,0.043531,0.043597,0.043581
data/piano_0001.off,piano_0001.off,128,1.000000,0.985631,3.429821,3.723008,0.958960,1.626058,1.009513,0.982355,1.107159,0.731612,0.055542,0.055487,0.055501
data/table_0001.off,table_0001.off,128,1.000000,1.014511,3.109847,4.303806,0.985845,0.928242,0.509768,1.026392,0.853382,0.542951,0.088370,0.090996,0.091220
